uniqueName,superclasses,subclasses,description
INSTRUMENT LOOP FOR DISPLACEMENT,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR DISPLACEMENT&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;DISPLACEMENT&gt;
INSTRUMENT LOOP FOR DUST DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR DUST DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;DUST DETECTION&gt;
INSTRUMENT LOOP FOR ELECTRICAL VARIABLE,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR ELECTRICAL VARIABLE&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;ELECTRICAL VARIABLE&gt;
INSTRUMENT LOOP FOR EROSION DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR EROSION DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;EROSION DETECTION&gt;
INSTRUMENT LOOP FOR FIRE DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR FIRE DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;FIRE DETECTION&gt;
INSTRUMENT LOOP FOR FORCE,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR FORCE&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;FORCE&gt;
INSTRUMENT LOOP FOR GAS DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR GAS DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;GAS DETECTION&gt;
INSTRUMENT LOOP FOR LEAK DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR LEAK DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;LEAK DETECTION&gt;
INSTRUMENT LOOP FOR MIST DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR MIST DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;MIST DETECTION&gt;
INSTRUMENT LOOP FOR POSITION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR POSITION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;POSITION&gt;
INSTRUMENT LOOP FOR PROXIMITY,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR PROXIMITY&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;PROXIMITY&gt;
INSTRUMENT LOOP FOR RADIATION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR RADIATION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;RADIATION&gt;
INSTRUMENT LOOP FOR SAND DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR SAND DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;SAND DETECTION&gt;
INSTRUMENT LOOP FOR SPEED,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR SPEED&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;SPEED&gt;
INSTRUMENT LOOP FOR WATER DETECTION,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR WATER DETECTION&gt; is an &lt;INSTRUMENT LOOP&gt; for detection of presence of water
INSTRUMENT LOOP FOR WEIGHT,INSTRUMENT LOOP,,An &lt;INSTRUMENT LOOP FOR WEIGHT&gt; is an &lt;INSTRUMENT LOOP&gt; for &lt;WEIGHT&gt;
INSTRUMENTATION ITEM,INSTRUMENTATION FUNCTION,"THREE WAY CONTROL VALVE, MULTI-RANGE INSTRUMENT, INK JET RECORDER, GLOBE CONTROL VALVE, VOLUME FLOW MEASURING ELEMENT - VELOCITY, DOUBLE ACTING ACTUATOR, TRAVEL STOP, POSITION TRANSDUCER, GAS DETECTING MEASURING ELEMENT - SEMICONDUCTOR, GAUGE PRESSURE MEASURING INSTRUMENT - DIAPHRAGM SEAL, ACOUSTIC SAND DETECTOR, TACHOMETER, WETTED TRANSDUCER, PARTICULATE MATTER MEASURING ELEMENT-MICROBALANCE, MAGNETIC ACTUATOR, CAPACITANCE MOISTURE SENSOR, LEVEL MEASURING ELEMENT - WAVE, VARIABLE SPEED DRIVE UNIT, PERMEAMETER, ELECTROACOUSTIC TRANSDUCER, NON-WETTED TRANSDUCER, MEMBRANE CONTROL VALVE, ELECTRONIC INSTRUMENT, SLIDE CONTROL VALVE, HEAT DETECTOR FOR SURFACE MOUNTING, DENSITY MEASURING INSTRUMENT - VIBRATING TUBE, LEVEL MEASURING ELEMENT - GRAVIMETRIC, RFID READER, DIFFERENTIAL PRESSURE MEASURING ELEMENT - DIAPHRAGM, LIQUID LEAK DETECTION SENSOR, FAIL OPEN ACTUATOR, BALL CONTROL VALVE, STANDARD SIGNAL INDICATOR, LINE VOLTAGE DETECTOR, STANDARD SIGNAL TOTALIZER, VOLUME FLOW MEASURING INSTRUMENT - DIFFERENTIAL PRESSURE, DIFFERENTIAL PRESSURE MEASURING INSTRUMENT - DIAPHRAGM SEAL, NORSOK I-001 REV3 F09 FLOW INDICATOR, CHARGE CONTROLLER, STANDARD SIGNAL SWITCH, TEMPERATURE MEASURING ELEMENT - INFRARED, LEVEL MEASURING INSTRUMENT - DISPLACER, CAGE TRIM CONTROL VALVE, GAUGE PRESSURE MEASURING INSTRUMENT - CAPSULE, FLOW RECORDER, GAS DETECTING MEASURING ELEMENT - INFRARED POINT, ANTI CAVITATION CONTROL VALVE, LEVEL MEASURING ELEMENT - HYDROSTATIC PRESSURE, WEIGHT METER, HC GAS INFRARED POINT DETECTOR, GAUGE PRESSURE MEASURING ELEMENT - TOTAL PRESSURE CELL, BULL&#39;S- EYE SIGHT GLASS, MODULATING CONTROL VALVE, FUEL INJECTION CONTROL SYSTEM, STRAIN GAUGE, DIAPHRAGM CONTROL VALVE, ABSOLUTE HUMIDITY PROBE, LEVEL MEASURING INSTRUMENT - MECHANICAL, MASS FLOW MEASURING INSTRUMENT - THERMAL, PIEZOELECTRIC LOAD CELL, GAS DETECTING INSTRUMENT - SEMICONDUCTOR, HYDRAULIC ACTUATOR, PARTICULATE MATTER MEASURING ELEMENT-IMPACTION, CAPACITIVE PROXIMITY PROBE, INTEGRAL MEASURING INSTRUMENT, SPEED CONTROLLER, LEVEL MEASURING ELEMENT - FLOAT, PRESSURE VACUUM RELIEF VALVE, GAUGE PRESSURE MEASURING ELEMENT - LIQUID COLUMN, MASS FLOW MEASURING ELEMENT - CORIOLIS, PRESSURE REGULATOR VALVE, MOISTURE METER, MAGNETIC INDUCTIVE PICKUP, ALARM SYSTEM, VAPOUR LEAK DETECTION SENSOR, ELECTRICAL TRANSMITTER, HYDRAULIC SWITCH, VOLUME FLOW MEASURING INSTRUMENT - ELBOW, VOLTMETER, REMOTE-OPERATED CONTROL UNIT, BIMETALLIC TEMPERATURE GAUGE, INSTRUMENT WITH OPTICAL INDEX, FIRE WATER RELEASE MONITOR, LIMIT SWITCH, VIBRATING LOAD CELL, LEVEL MEASURING ELEMENT - REFRACTIVE, MULTIPLE ORIFICE VALVE, SLAM SHUT CONTROL VALVE, REMOTE TERMINAL UNIT, PNEUMATIC CONTROLLER, VELOCITY PICKUP, LOUVER POSITIONER, EROSION PROBE, ROUND SIGHT GLASS, SIGNAL SWITCH, IONIZATION SMOKE DETECTOR, GAUGE PRESSURE MEASURING INSTRUMENT -BOURDON, LEVEL MEASURING INSTRUMENT - HYDROSTATIC PRESSURE, INDIRECT ACTING INDICATOR, VOLUME FLOW MEASURING ELEMENT - FLUME, LEVEL SWITCH, SHADOW COLUMN INSTRUMENT, PRESSURE REDUCING VALVE, GAUGE PRESSURE MEASURING ELEMENT - DIAPHRAGM, INSTRUMENTATION ITEM WITH LIMIT SWITCHES, SEQUENCE OF EVENTS RECORDER, ELECTROMETER, TWO CYLINDER ACTUATOR, THERMOSTAT, DIFFERENTIAL PRESSURE MEASURING INSTRUMENT - DIAPHRAGM, SUBSEA PRODUCTION CONTROL SYSTEM, LEVEL MEASURING INSTRUMENT - LASER, OFF-LINE ANALYSER, BURNER FLAME DETECTOR, OHMMETER, VOLUME FLOW MEASURING INSTRUMENT - ROTAMETER, HF IN AIR DETECTOR, TEMPERATURE MEASURING INSTRUMENT - THERMOCOUPLE, ASPIRATED DETECTOR, ULTRAVIOLET FLAME DETECTING MEASURING ELEMENT, MODULATING ACTUATOR, DIFFERENTIAL PRESSURE MEASURING ELEMENT - DIAPHRAGM SEAL, CHEMICAL INJECTION DOSING CONTROL VALVE, DISC RECORDER, FAIL CLOSE ACTUATOR, THERMAL CONDUCTIVITY GAS ANALYSER, PRESSURE SIGHT GLASS, LEVEL MEASURING ELEMENT - NUCLEAR, ANTI SURGE CONTROLLER, AXIAL DISPLACEMENT PROBE, CONTROLLED VALVE ACTUATOR, VACUUM RELIEF VALVE, ROTARY CONTROL VALVE, MULTIPHASE METER, ACOUSTIC PROXIMITY PROBE, VOLUME FLOW MEASURING ELEMENT - VARIABLE AREA, TEMPERATURE MEASURING ELEMENT - RESISTANCE, FIELD-MOUNTED MEASURING INSTRUMENT, TRANSMITTER HOUSING ASSEMBLY, VOLUME FLOW MEASURING INSTRUMENT- ANEMOMETRIC, GAS DETECTING MEASURING ELEMENT - HOLOGRAPHIC, VACUUM SAFETY VALVE, VOLUME FLOW MEASURING ELEMENT - FORCE BALANCE, DOUBLE WALL SIGHT GLASS, DENSITY MEASURING ELEMENT - REFRACTIVE, FAN POSITIONER, DIRECT OPERATED PRESSURE REGULATOR, VOLUME FLOW MEASURING INSTRUMENT - ELLIPTIC THROAT, DATA HISTORIAN, SINGLE ACTING ACTUATOR, DIFFERENTIAL TEMPERATURE MEASURING INSTRUMENT - RESISTANCE, CURRENT TO HYDRAULIC PRESSURE SIGNAL CONVERTER, DENSITOMETER, MODULATING CONTROLLER, RETURN ACTUATOR, INSTRUMENT WITH SUPPRESSED ZERO, RELIEF VALVE, PLOTTER, ANGLE CONTROL VALVE, CONTROL MODULE, THERMAL ELEMENT SHEATH, SETPOINT CHOKE VALVE CONTROLLER, DIAPHRAGM SEAL, FLOW SIGHT GLASS, PRESSURE CONTROLLER, NORSOK I-001 REV3 T02 TEMPERATURE INDICATOR, TIME OF FLIGHT ULTRASONIC FLOW METER, GAS DETECTING MEASURING ELEMENT - ELECTROCHEMICAL, LEVEL MEASURING INSTRUMENT - MAGNETOSTRICTIVE FLOAT, AXIAL POSITION DETECTOR, VAR-HOUR METER, LEVEL MEASURING INSTRUMENT - PULSED-WAVE RADAR, OSCILLOGRAPH, H2S DETECTOR, DRUM RECORDER, MULTIPLE SEAT CONTROL VALVE, VOLUME FLOW MEASURING INSTRUMENT - ELECTROMAGNETIC, PNEUMATIC LOAD CELL, DIFFERENTIAL PRESSURE MEASURING INSTRUMENT - BELLOWS, PARTICULATE MATTER ANALYSER, TEMPERATURE MEASURING INSTRUMENT - BIMETAL, MULTI-SCALE INSTRUMENT, CHOKE VALVE POSITION DETECTOR, MULTIPOINT RECORDER, MOVING COIL METER, THERMOWELL STEM, ULTRAVIOLET FLAME DETECTOR, THERMAL RECORDER, VOLUME FLOW MEASURING INSTRUMENT - V-CONE, RATED CAPACITY INDICATOR, VOLUME FLOW MEASURING INSTRUMENT - PITOT TUBE, LEVEL MEASURING INSTRUMENT - NUCLEAR, PARTICULATE MATTER MEASURING ELEMENT-MICROSCOPICAL, NORSOK I-001 REV3 T03 TEMPERATURE INDICATOR, GAS DETECTING INSTRUMENT - INFRARED POINT, MULTI POINT INDICATOR, UV/IR FLAME DETECTING MEASURING ELEMENT, VALVE POSITIONER, MASS FLOW MEASURING INSTRUMENT - CORIOLIS, EVENT RECORDER, DIGITAL INDICATOR, LINEAR MOTION CONTROL VALVE, DIFFERENTIAL TEMPERATURE MEASURING INSTRUMENT - DOUBLE BULB, INSTRUMENTATION ITEM WITH LOCKING DEVICE, MULTIMETER, VOLUME FLOW MEASURING INSTRUMENT - FLUME, LEVEL MEASURING INSTRUMENT - FLOAT, HYDRAULIC LOAD CELL, VOLUME TANK, INDUCTIVE PROXIMITY PROBE, LEVEL MEASURING INSTRUMENT - GRAVIMETRIC, AMPEREMETER, INSTRUMENT MOUNTING BRACKET, INSTRUMENT BODY, DIFFERENTIAL PRESSURE MEASURING INSTRUMENT - PISTON, DENSITY MEASURING INSTRUMENT, CLOCK, CRANE MASTER, SINGLE FUNCTION INSTRUMENT, FOG DETECTING SENSOR, GAUGE PRESSURE MEASURING INSTRUMENT - DIAPHRAGM, NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY ANALYSER, DIFFERENTIAL TEMPERATURE MEASURING INSTRUMENT - DOUBLE BIMETAL, NEEDLE CONTROL VALVE, PARTICULATE MATTER MEASURING ELEMENT-GRAVIMETRIC, BUTTERFLY CONTROL VALVE, VOLUME FLOW MEASURING ELEMENT - LEVEL-TO-FLOW OPEN CHANNEL, PNEUMATIC RELAY, FLOW TOTALIZER, POINTER INSTRUMENT, DENSITY MEASURING INSTRUMENT - REFRACTIVE, AREOMETER, SPEED GOVERNOR, NON-DISPERSIVE INFRA-RED GAS ANALYSER, OIL MIST DETECTING SENSOR, DYNAMOMETER, DIFFERENTIAL PRESSURE SIGHT GLASS, TEMPERATURE MEASURING ELEMENT - BIMETAL, VOLUME FLOW MEASURING INSTRUMENT - SEGMENTAL WEDGE, PILOT OPERATED REGULATOR, FLOAT CHAMBER, MIXING CONTROL VALVE, RACK-MOUNTED MEASURING INSTRUMENT, BURNER CONTROLLER, LEVEL GAUGE GLASS, VOLUME FLOW MEASURING ELEMENT - SONIC NOZZLE, WAVE HEIGHT SENSOR, SOLID ELECTROLYTE OXYGEN ANALYSER, PHASE METER, ELECTROMAGNETIC TRANSDUCER, FAIL LOCKED ACTUATOR, FLOAT VALVE, DENSITY MEASURING ELEMENT - NUCLEAR, HIGH DIFFERENTIAL PRESSURE CONTROL VALVE, LIMIT SWITCH SENSOR, DENSITY MEASURING INSTRUMENT - MICROWAVE, HYDROCARBON LEAK DETECTOR, VOLUME FLOW MEASURING INSTRUMENT - FLOW NOZZLE, ABSOLUTE PRESSURE MEASURING ELEMENT - CAPSULE, TEMPERATURE MEASURING INSTRUMENT - INFRARED, VIBRATING WIRE LOAD CELL, PISTON ACTUATOR, LEVEL MEASURING ELEMENT - DISPLACER, UNLOADER INDICATOR ASSEMBLY, FLOW LIMITER, ONE CYLINDER ACTUATOR, VOLUME FLOW MEASURING ELEMENT - DIFFERENTIAL PRESSURE, DIRECTIONAL CONTROL VALVE, MEASURING BRIDGE, INFRARED PROXIMITY PROBE, BI-DIRECTIONAL CONTROL VALVE, DENSITY MEASURING ELEMENT - VIBRATION, CENTRIFUGAL COMPRESSOR BUFFER GAS CONTROL SYSTEM, CIRCULATION CONTROL VALVE, PNEUMATIC TRANSMITTER, SINGLE RANGE INSTRUMENT, SPRINKLER CONTROL VALVE, GAS LEAK DETECTION SENSOR, LEVEL SIGHT GLASS, GAUGE PRESSURE MEASURING ELEMENT - BOURDON, DRAFT PRESSURE MEASURING INSTRUMENT, MASS FLOW MEASURING ELEMENT - SONIC NOZZLE, OSCILLOSCOPE, instrument equipment, ENVIRONMENTAL CONTROL SYSTEM, HANDHELD TEMPERATURE METER, FLOW CONTROLLER, LEVEL MEASURING ELEMENT - LASER, MASS FLOW MEASURING ELEMENT - THERMAL, INLET GUIDE VANE CONTROL, DISPERSIVE INFRA-RED GAS ANALYSER, ELECTROMECHANICAL TRANSDUCER, DIAPHRAGM SEAL ASSEMBLY, DENSITY MEASURING INSTRUMENT - ULTRASONIC, GAUGE PRESSURE MEASURING ELEMENT - CAPSULE, VOLUME FLOW MEASURING INSTRUMENT - POSITIVE DISPLACEMENT, GAUGE PRESSURE MEASURING ELEMENT - BELLOWS, DENSITY MEASURING ELEMENT - BUOYANCY, ON OFF CONTROLLER, VOLUME FLOW MEASURING INSTRUMENT - TARGET, MANUAL LOADING STATION, LEVEL MEASURING INSTRUMENT - OPTICAL, LEVEL MEASURING ELEMENT - ELECTRIC PROPERTY, MACHINE-HOURS METER, DISTRIBUTED CONROL SYSTEM, VOLUME FLOW MEASURING INSTRUMENT - ORIFICE PLATE, VOLUME FLOW MEASURING INSTRUMENT - VARIABLE AREA, DIAPHRAGM ACTUATOR, ON-OFF CONTROL VALVE, HIGH TEMPERATURE CONTROL VALVE, SPAN ADJUSTMENT DEVICE, START CONTROLLER, DENSITY MEASURING ELEMENT - SONIC NOZZLE, GAS DETECTING INSTRUMENT - ELECTROCHEMICAL, SAFETY VALVE, STANDARD SIGNAL CONTROLLER, LEVEL MEASURING INSTRUMENT - REFRACTIVE, PARTICULATE MATTER MEASURING ELEMENT-OPTICAL, CONTINUOUS LINE RECORDER, TEMPERATURE MEASURING INSTRUMENT - FILLED BULB, LEVEL MEASURING ELEMENT - OPTICAL, SPOT RECORDER, PROCESS MONITORING SYSTEM, FLOW SWITCH, LEVEL MEASURING INSTRUMENT - WAVE, VOLUME FLOW MEASURING INSTRUMENT - LEVEL-TO-FLOW OPEN CHANNEL, CATALYTIC ANALYSER, LOW NOISE CONTROL VALVE, TEMPERATURE CONTROLLER, NEAR IR ARRAY FLAME DETECTING MEASURING ELEMENT, THERMOMETER, SYNCHRONOSCOPE, VOLUME FLOW MEASURING INSTRUMENT - VANE, STANDARD SIGNAL RECORDER, INTEGRATING METER, MULTI-FUNCTION METER, VOLUME FLOW MEASURING INSTRUMENT - VELOCITY, CORROSION MEASURING ELEMENT - LINEAR POLARIZATION RESISTANCE ELEMENT, TEMPERATURE MEASURING ELEMENT - THERMOCOUPLE, ANALOGUE INDICATOR, LEVEL MEASURING ELEMENT - MECHANICAL, PHOTOELECTRIC TRANSDUCER, DELUGE CONTROL VALVE, GALVANOMETER, STEPPING ACTUATOR, GATE CONTROL VALVE, GAS DETECTING INSTRUMENT - HOLOGRAPHIC, MODULATED CARRIER FREQUENCY PICKUP, AIR PRESSURE REGULATOR, POWER METER, AMPERE-HOUR METER, GAS DETECTING INSTRUMENT - ULTRASONIC, RELATIVE HUMITITY PROBE, THERMOSTATIC MIXING ASSEMBLY, PARAMAGNETIC OXYGEN ANALYSER, ELECTRONIC INSTRUMENT LOOP, Measuring instrument component, ON-LINE ANALYSER, ELECTRONIC CONTROLLER, PHOTOELECTRIC SWITCH, VIBRATION INDICATOR, CONSTANT VOLUME REGULATOR, METER RUN, PANEL-MOUNTED MEASURING INSTRUMENT, TANK GAUGE, GAS DETECTING MEASURING ELEMENT - INFRARED IMAGING, general instrument, DIFFERENTIAL PRESSURE MEASURING ELEMENT - PISTON, NORSOK I-001 REV3 T02 TEMPERATURE INSTRUMENT ELECTRIC, INFRARED FLAME DETECTOR, VOLT-AMPERE-HOUR METER, INFRARED ANALYSER, MOTOR CONTROL SYSTEM, LEVEL CONTROLLER, GAS DETECTING MEASURING ELEMENT - ULTRASONIC, DENSITY MEASURING ELEMENT - HYDROSTATIC PRESSURE, HANDHELD PRESSURE METER, TIMER, INFRARED RECEIVER, DENSITY MEASURING INSTRUMENT - BUOYANCY, HEAD-MOUNTED MEASURING INSTRUMENT, EMERGENCY SHUT DOWN SYSTEM, VARIABLE AREA FLOW INDICATOR, GAS CHROMATOGRAPH, PNEUMATIC INSTRUMENT LOOP, VOLUME FLOW MEASURING INSTRUMENT - IMPACT, GAUGE PRESSURE MEASURING ELEMENT - DIAPHRAGM SEAL, ELECTRIC ACTUATOR, ORIFICE PLATE FLOWMETER ASSEMBLY, DENSITY MEASURING INSTRUMENT - VIBRATING FORK OR ROD, TRANSMITTER - FORCE-BALANCE, TRIMPLATE PNEUMATIC HEAT DETECTION, PORTABLE INSTRUMENT, DIFFERENTIAL PRESSURE MEASURING ELEMENT - BOURDON, CONDUCTIVITY CELL, SURFACE MOUNTED GAS DETECTOR, TREND RECORDER, PILOT ACTUATOR, VIDEO MONITOR, STEP CONTROLLER, WEIGHING SCALE, BARE MEASURING INSTRUMENT, LEVEL MEASURING INSTRUMENT - ELECTRIC PROPERTY, CHART RECORDER, HOUR COUNTER, MAGNETIC FLUX MEASURING INSTRUMENT, WEIGHT  MEASURING INSTRUMENT - STRAIN GAUGE LOAD CELL, DIGITAL ACTUATOR, DIFFERENTIAL PRESSURE MEASURING ELEMENT - BELLOWS, SAFEGUARD CONTROLLER, CAPACITIVE LOAD CELL, FLOW INDICATOR, IR3 FLAME DETECTING MEASURING ELEMENT, TEMPERATURE MEASURING ELEMENT - FILLED BULB, BACK PRESSURE REGULATOR, MOTOR ACTUATOR, SAMPLING TUBE, PROCESS DATA ACQUISITION AND CONTROL SYSTEM, MASS FLOW MEASURING INSTRUMENT - SONIC NOZZLE, PRESSURE SENSOR MODULE, TEMPERATURE MEASURING INSTRUMENT - RESISTANCE, DIFFERENTIAL PRESSURE REGULATOR, CRYOGENIC CONTROL VALVE, LEVEL MEASURING INSTRUMENT - CONTINUOUS-WAVE RADAR, PULSE COUNTER, LOGIC ARTEFACT, DIFFERENTIAL PRESSURE MEASURING INSTRUMENT - BOURDON, STYLUS RECORDER, LEVEL MEASURING INSTRUMENT - IMMERSION, PRINTING RECORDER, ABSOLUTE PRESSURE MEASURING ELEMENT - DIAPHRAGM, WEIGHING BALANCE, VOLUME FLOW MEASURING INSTRUMENT - WEIR, PLUG CONTROL VALVE, INFRARED FLAME DETECTING MEASURING ELEMENT, GAS LIQUID CHROMATOGRAPH, DIRECT ACTING INDICATOR, WINDING TEMPERATURE DETECTOR, PARTICULATE MATTER MEASURING ELEMENT-CHARGING, IN-LINE MOUNTED INSTRUMENT, CHOKE CONTROL VALVE, MOVING-SCALE INSTRUMENT, PARTICULATE MATTER MEASURING ELEMENT-DIFFUSION, DENSITY MEASURING INSTRUMENT - NUCLEAR, SPEED GOVERNOR SYSTEM, SHARED INDICATOR, 3IR+UV FLAME DETECTING MEASURING ELEMENT, ABSOLUTE PRESSURE MEASURING INSTRUMENT - DIAPHRAGM, GAS DETECTING INSTRUMENT - INFRARED IMAGING, VOLUME FLOW MEASURING ELEMENT - POSITIVE DISPLACEMENT, HYDRAULIC DIRECTIONAL CONTROL VALVE, IONISATION FLAME DETECTOR, GAUGE PRESSURE MEASURING INSTRUMENT - BELLOWS, HYDRAULIC CONTROLLER, TWIN BEAM FLAME DETECTOR, STRAIN GAUGE LOAD CELL, OPTICAL SMOKE DETECTOR, DENSITY MEASURING ELEMENT - ULTRASONIC, SEALING STEAM CONTROL VALVE, BEARING TEMPERATURE DETECTOR, DIFFERENTIAL PRESSURE MEASURING ELEMENT - LIQUID COLUMN, ASTATIC INSTRUMENT, VOLT-AMPERE METER, FINAL CONTROL ASSEMBLY, PANEL MOUNTED INSTRUMENT, FILTER REGULATOR, IR/IR FLAME DETECTING MEASURING ELEMENT, RUPTURE DISC ASSEMBLY, CORROSION PROBE, PNEUMATIC ACTUATOR, PEN RECORDER, TRAVEL INDICATOR, INCLINOMETER, WATT-HOUR METER, ECCENTRIC ROTATING DISC CONTROL VALVE, VOLUME FLOW MEASURING INSTRUMENT - GEAR, OBLONG SIGHT GLASS, SPRING-LOADED CONSTANT DOWNSTREAM PRESSURE VALVE, VOLUME FLOW MEASURING INSTRUMENT - DALL TUBE, CENTRIFUGAL COMPRESSOR PROCESS CONTROL, CENTRIFUGAL COMPRESSOR VIBRATION DETECTOR, CHANNEL MONITOR, POWER FACTOR METER, MAGNETIC RELUCTANCE PICKUP, VOLUME FLOW MEASURING INSTRUMENT - VENTURI TUBE, DIFFERENTIAL TEMPERATURE MEASURING INSTRUMENT - THERMOCOUPLE, INDUCTION METER, SIGNAL CONVEYING ITEM, WIRE ROPE CLAMP LOAD CELL, VIBRATION OSCILLATOR-DETECTOR, XY RECORDER, DENSITY MEASURING ELEMENT - MICROWAVE, WELL PRODUCTION CONTROL SYSTEM, GAMMA DETECTING MEASURING ELEMENT, MOTOR CONTROLLER, METER TUBE",A &lt;INSTRUMENTATION ITEM&gt; is an &lt;ARTEFACT&gt; and a &lt;INSTRUMENTATION FUNCTION&gt;
general instrument,INSTRUMENTATION ITEM,,A process instrument that records values represented by the input signal(s)
instrument equipment,INSTRUMENTATION ITEM,,"A physical object that detects an aspect of something; records, modifies and/or displays such an aspect or performs a combination of these activities"
NORSOK I-001 REV3 T02 TEMPERATURE INSTRUMENT ELECTRIC,INSTRUMENTATION ITEM,,"A &lt;NORSOK I-001 REV3 T02 TEMPERATURE INSTRUMENT ELECTRIC&gt; is a &lt;TEMPERATURE MEASURING INSTRUMENT&gt; and an &lt;INSTRUMENTATION ITEM&gt;&gt; which conforms to the specification NORSOK I-001, T02, Rev 3, April 2000"
GAS CHROMATOGRAPH,INSTRUMENTATION ITEM,,A &lt;GAS CHROMATOGRAPH&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CHROMATOGRAPH&gt; where gas is injected directly into one or more separation columns
GAS LIQUID CHROMATOGRAPH,INSTRUMENTATION ITEM,,A &lt;GAS LIQUID CHROMATOGRAPH&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;CHROMATOGRAPH&gt; where a liquid sample is injected and evaporated and subsequently carried to one or more separation columns
IONISATION FLAME DETECTOR,INSTRUMENTATION ITEM,,An &lt;IONISATION FLAME DETECTOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;FLAME DETECTOR&gt; designed to detect a flame by measuring a degree of ionisation
H2S DETECTOR,INSTRUMENTATION ITEM,,An &lt;H2S DETECTOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;GAS DETECTOR&gt; that is designed for detecting Hydrogen Sulfide
BACK PRESSURE REGULATOR,INSTRUMENTATION ITEM,,A &lt;BACK PRESSURE REGULATOR&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;PRESSURE REGULATOR&gt; that uses the up-stream pressure to control the valve trim position
FLOW LIMITER,"INSTRUMENTATION ITEM, LIMITER",,A &lt;FLOW LIMITER&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;LIMITER&gt; that normally use the differential pressure across an orifice to control a valve trim and limit the flow
FLOW TOTALIZER,"INSTRUMENTATION ITEM, TOTALIZER","POSITIVE DISPLACEMENT TOTALIZER, TURBINE TOTALIZER, flow totalizer","A &lt;FLOW TOTALIZER&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;FLOW MEASURING INSTRUMENT&gt; and a &lt;TOTALIZER&gt; that, using a &lt;FLOW MEASURING ELEMENT&gt;, is specially and exclusively designed for &lt;TOTALIZING&gt; a &lt;FLOW RATE&gt;"
TREND RECORDER,"INSTRUMENTATION ITEM, RECORDER",,"A &lt;TREND RECORDER&gt; is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;RECORDER&gt; that enables the recording of historical data at a reduced sampling rate, to be retrieved for trend and power quality analysis"
TEMPERATURE MEASURING ELEMENT - FILLED BULB,INSTRUMENTATION ITEM,,A &lt;TEMPERATURE MEASURING ELEMENT - FILLED BULB&gt; is an &lt;INSTRUMENTATION ITEM&gt; and  a &lt;TEMPERATURE MEASURING ELEMENT&gt; that uses the principle of fluid expansion to measure temperature
THERMAL CONDUCTIVITY GAS ANALYSER,INSTRUMENTATION ITEM,,A &lt;THERMAL CONDUCTIVITY GAS ANALYSER&gt;is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;GAS ANALYSER&gt; and a &lt;THERMAL CONDUCTIVITY ANALYSER&gt; intended to provide on-line gas-composition analysis based on the measured thermal conductivity of the gases in a mixture
CATALYTIC ANALYSER,INSTRUMENTATION ITEM,,A &lt;CATALYTIC ANALYSER&gt;is an &lt;INSTRUMENTATION ITEM&gt; and a &lt;GAS ANALYSER&gt; that is using catalytic combustion of gases in air or oxygen
