UniqueName,SuperClass,TextDefinition
LUFFING MOTOR,MOTOR,A <LUFFING MOTOR> is a <MOTOR> that is intended to alter the inclination of something
MACHINE COMPONENT,"ARTEFACT, COMPONENT",A <MACHINE COMPONENT> is an <ARTEFACT> and a <COMPONENT> that is part of an <MACHINE>
MAGNETIC BEARING,"ARTEFACT, BEARING",A <MAGNETIC BEARING> is an <ARTEFACT> and a <BEARING> that is an electromagnetic device which maintains the relative position of a rotating assembly (rotor) with respect to the stationary part
MAGNETIC DRIVE CENTRIFUGAL PUMP,SEALLESS CENTRIFUGAL PUMP,A <MAGNETIC DRIVE CENTRIFUGAL PUMP> is a <SEALLESS CENTRIFUGAL PUMP> where the driven shaft and impeller are completely contained in a pressurized containment and the power required is transmitted through the containment barrier by magnetic force created by permanent magnets or by an induction device.
MAGNETIC DRIVE CENTRIFUGAL PUMP EXTERNAL MAGNET SHROUD,SHROUD,A <MAGNETIC DRIVE CENTRIFUGAL PUMP EXTERNAL MAGNET SHROUD> is a <SHROUD> that provides a cover that contains the external magnet of a magnetic drive centrifugal pump
MAGNETIC DRIVE CENTRIFUGAL PUMP INTERNAL MAGNET SHROUD,SHROUD,A <MAGNETIC DRIVE CENTRIFUGAL PUMP INTERNAL MAGNET SHROUD> is a <SHROUD> that provides a cover that contains the internal magnet and part of the inner rotor of a magnetic drive centrifugal pump
MAGNETIC DRIVE CENTRIFUGAL PUMP SPACER CAN,SPACER CAN,A <MAGNETIC DRIVE CENTRIFUGAL PUMP SPACER CAN> is a <SPACER CAN> that is the separation part between the internal rotor and the external driven rotor of a magnet drive centrifugal pump
MAGNETIC DRIVE ROTARY PUMP,ROTARY PUMP,A <MAGNETIC DRIVE ROTARY PUMP> is a <ROTARY PUMP> that uses a coupling by magnetic force to transmit torque from a driver to a sealless rotary pump.
MAGNETIC FRICTION CLUTCH,"ARTEFACT, CLUTCH",A <MAGNETIC FRICTION CLUTCH> is an <ARTEFACT> and a <CLUTCH> utilizing the friction of electromagnetic force in combination with friction to connect or disconnect two shafts or rotating members
MAGNETICALLY COUPLED PUMP,SEALLESS CENTRIFUGAL PUMP,A <MAGNETICALLY COUPLED PUMP> is a <SEALLESS CENTRIFUGAL PUMP> where the driver is coupled to the pump by a drive magnet that eliminates any shaft sealing required by the pump
MAINTENANCE SHOP,BUILDING(structure),A <MAINTENANCE SHOP> is a <BUILDING(structure)> in which maintanance activities take place
MANUAL BALANCING DAMPER,BALANCING DAMPER,A <MANUAL BALANCING DAMPER> is a <BALANCING DAMPER> that is operated manually
MARINE DIESEL ENGINE,DIESEL ENGINE,A <MARINE DIESEL ENGINE> is a <DIESEL ENGINE> designed for marine environment.
MARINE PUMP,PUMP,A <MARINE PUMP>  is a <PUMP> that is specifically designed for <WITHSTANDING> offshore conditions
MARINE SCREW PROPELLER,PROPELLER,"A <MARINE SCREW PROPELLER> is a <PROPELLER> that is carrying 2, 3 or 4 blades of helical form, which produces the thrust to drive a ship by giving momentum to the column of water which it displaces in an astern direction."
MARINE TYPE IMPELLER,AXIAL FLOW MIXER IMPELLER,"A <MARINE TYPE IMPELLER> is an <AXIAL FLOW MIXER IMPELLER> that is provided with constant pitch, skewed-back blades as three(3) blade propeller in order to perform down-pumping actions to tank bottom in mixing liquids."
MATING RING,RING,"A <MATING RING> is a <RING> that is a ring-shaped part of a mechanical seal, mounted either on a shaft sleeve or in a housing, which provides the primary seal when in proximity to the face of an axially adjustable primary ring seal face"
MDO DIESEL ENGINE,DIESEL ENGINE,An <MDO DIESEL ENGINE> is a <DIESEL ENGINE> designed to run on medium heavy diesel oil.
MECHANICAL ADJUSTABLE SPEED DRIVE,VARIABLE TRANSMISSION,A <MECHANICAL ADJUSTABLE SPEED DRIVE> is a <VARIABLE TRANSMISSION> that is intended to convert a constant rotational input speed to a rotational output speed that is steplessly variable within a certain range by mechanical means
MECHANICAL BRAKE,"ARTEFACT, BRAKE",A <MECHANICAL BRAKE> is an <ARTEFACT> and a <BRAKE> in which the braking force is provided by friction between brake blocks or pads and the wheels or separate discs
MECHANICAL CLUTCH,"ARTEFACT, CLUTCH",A <MECHANICAL CLUTCH> is an <ARTEFACT> and a <CLUTCH> intended to use spring force or hydraulic force in combination with friction to connect or disconnect two shafts or rotating members
MECHANICAL CONTACT COUPLING,FLEXIBLE COUPLING,A <MECHANICAL CONTACT COUPLING> is a <FLEXIBLE COUPLING> designed to transmit torqe by direct mechanical contact between mating parts and accommodate misalignment and axial displacement by relative rocking and sliding motion between the parts in contact. The contacting parts may be metallic or may be made of self-lubricating non-metallic material.
MECHANICAL CONTACT SEAL,COMPRESSOR OR EXPANDER SEAL,A <MECHANICAL CONTACT SEAL> is a <COMPRESSOR OR EXPANDER SEAL> that is provided with labyrinths and slingers and pressurized oil-injection to the rotating seal faces.
MECHANICAL CYLINDER,ENGINE COMPONENT,"A <MECHANICAL CYLINDER> is an <ENGINE COMPONENT> that is a tubular chamber in which a piston of an engine, pump, compressor or actuator reciprocates in order to make compression or expansion happen."
MECHANICAL DRIVE GAS TURBINE,GAS TURBINE,A <MECHANICAL DRIVE GAS TURBINE> is a <GAS TURBINE> that is used to provide mechanical energy as opposed to driving a generator of electrical power
MECHANICAL OSCILLATOR,"ARTEFACT, OSCILLATOR",A <MECHANICAL OSCILLATOR> is an <ARTEFACT> and a <OSCILLATOR> that is an apparatus for generating oscillatory currents by mechanical means
MECHANICAL POWER TRANSMISSION COUPLING,"ARTEFACT, COUPLER, ENERGY TRANSFERRER","A <MECHANICAL POWER TRANSMISSION COUPLING> is an <ARTEFACT> and a <COUPLER> and an <ENERGY TRANSFERRER> that is a flexible or rigid connection between two coaxial shafts, transferring torque from the one to the other"
MECHANICAL SEAL,"ARTEFACT, SEAL","A <MECHANICAL SEAL> is an <ARTEFACT> and a <SEAL> that comprises of a set of one or more rotating and stationary seal faces, together with auxiliary hardware, separated by a film of fluid intended to reduce flow loss around a rotating shaft to an acceptable level"
MECHANICAL SEAL AUTOMATIC REFILLING LUBRICATION SYSTEM,MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,"A <MECHANICAL SEAL AUTOMATIC REFILLING LUBRICATION SYSTEM> is a <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> where the buffer fluid is circulated and cooled in a loop outside the fluid tank. The pressurisation and leakage compensation is taken care of by an electric or pneumatic driven pump with pressure control valve for manual regulation of buffer fluid pressure. Should the pump be swithed off, the pressure will be maintained for a limited time by an accumulator."
MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,MECHANICAL SEAL LIQUID LUBRICATION SYSTEM,"A <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> is a <MECHANICAL SEAL LIQUID LUBRICATION SYSTEM> where all components are kept under the same pressure. The pressure is applied by means of nitrogen, by the process medium pressure or via a refill system."
MECHANICAL SEAL CLOSED LOOP LUBRICATION SYSTEM,MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,A <MECHANICAL SEAL CLOSED LOOP LUBRICATION SYSTEM> is a <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> where the buffer fluid is circulated through a cooler by a pumping ring in the seal chamber. Possible leakage compensation is taken care of by manual refilling.
MECHANICAL SEAL DEAD END LUBRICATION SYSTEM,MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,A <MECHANICAL SEAL DEAD END LUBRICATION SYSTEM> is a <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> where the buffer fluid is supplied to the seal chamber inlet only. The seal chamber outlet is plugged.
MECHANICAL SEAL EXTERNAL SOURCE LUBRICATION SYSTEM,MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,A <MECHANICAL SEAL EXTERNAL SOURCE LUBRICATION SYSTEM> is a <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> where clean buffer fluid is circulated through the seal chamber by an external source. The buffer fluid pressure is greater than the process fluid pressure. Typically it can be water from the freshwater supply system.
MECHANICAL SEAL GAS LUBRICATION SYSTEM,MECHANICAL SEAL LUBRICATION SYSTEM,A <MECHANICAL SEAL GAS LUBRICATION SYSTEM> is a <MECHANICAL SEAL LUBRICATION SYSTEM> providing gas (N2 or air) to dry gas seals (DGS) arrangements.
MECHANICAL SEAL LIQUID LUBRICATION SYSTEM,MECHANICAL SEAL LUBRICATION SYSTEM,A <MECHANICAL SEAL LIQUID LUBRICATION SYSTEM> is a <MECHANICAL SEAL LUBRICATION SYSTEM> providing buffer fluid to a pressurized dual arrangements.
MECHANICAL SEAL LUBRICATION SYSTEM,"ARTEFACT, LUBRICATION SYSTEM",A <MECHANICAL SEAL LUBRICATION SYSTEM> is an <ARTEFACT> and a <LUBRICATION SYSTEM> which provides lubrication and/or buffer fluid to a mechanical seal arrangement
MECHANICAL SEAL OPEN CIRCUIT LIQUID LUBRICATION SYSTEM,MECHANICAL SEAL LIQUID LUBRICATION SYSTEM,A <MECHANICAL SEAL OPEN CIRCUIT LIQUID LUBRICATION SYSTEM> is a <MECHANICAL SEAL LIQUID LUBRICATION SYSTEM> where the circulation and pressurization take place through a single buffer fluid system. After each circuit the buffer fluid is relieved and collected in a pressureless tank.
MECHANICAL SEAL PRESSURE BOOSTER LUBRICATION SYSTEM,MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,A <MECHANICAL SEAL PRESSURE BOOSTER LUBRICATION SYSTEM> is a <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> where the buffer fluid flows via a rising pipe into a vessel where it is cooled. The vessel is pressurized by means of a piston activated by the process medium pressure. This system is often used for double and tandem mechanical seal applications.
MECHANICAL SEAL PRODUCT LUBRICATION SYSTEM,MECHANICAL SEAL LUBRICATION SYSTEM,A <MECHANICAL SEAL PRODUCT LUBRICATION SYSTEM> is a <MECHANICAL SEAL LUBRICATION SYSTEM> providing product lubrication to single mechanical seal arrangements.
MECHANICAL SEAL QUENCH FLUID LUBRICATION SYSTEM,MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,"A <MECHANICAL SEAL QUENCH FLUID LUBRICATION SYSTEM> is a <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> acting as a reservoir, supplying single or tandem mechanical seals. The exchange of fluid takes place by thermosiphon principle or by forced circulation e.g. with a pumping ring."
MECHANICAL SEAL THERMOSIPHON LUBRICATION SYSTEM,MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM,A <MECHANICAL SEAL THERMOSIPHON LUBRICATION SYSTEM> is a <MECHANICAL SEAL CLOSED CIRCUIT LIQUID LUBRICATION SYSTEM> where the buffer fluid flows via a rising pipe into a vessel where it is cooled. The vessel is pressurized with air or nitrogen. This system is often used for double and tandem mechanical seal applications.
MECHANICALLY ACTUATED DIAPHRAGM PUMP,CONTROLLED VOLUME DIAPHRAGM PUMP,"A <MECHANICALLY ACTUATED DIAPHRAGM PUMP> is a <CONTROLLED VOLUME DIAPHRAGM PUMP> where the diaphragm is mechanically coupled to a ""piston"" rod. The number of diaphragms and pump heads can be varied"
MEDIUM-SPEED DIESEL ENGINE,DIESEL ENGINE,"A <MEDIUM-SPEED DIESEL ENGINE> is a <DIESEL ENGINE> with a medium rotational speed, i.e between 360 and 600 rpm."
MELT PUMP,GEAR PUMP,A <MELT PUMP> is a <GEAR PUMP> that is designed for use a wide range of applications from PET sheet and rubber extrusion to recycling and compounding
METAL BELLOW SEAL,BELLOW MECHANICAL SEAL,A <METAL BELLOW SEAL> is a <BELLOW MECHANICAL SEAL> that utilizes metal bellows to provide loading and expansion at the seal faces and secondary sealing i.s.o. springs and an <O-ring>
METAL FAN,"ARTEFACT, FAN",A <METAL FAN is an <ARTEFACT> and a <FAN> that is made of metal
METALLIC DIAPHRAGM COUPLING,METALLIC FLEXIBLE ELEMENT COUPLING,A <METALLIC DIAPHRAGM COUPLING> is a <METALLIC FLEXIBLE ELEMENT COUPLING> consisting of one or more metallic flexible elements in the form of thin circular plates that are attached to one part of the coupling at their outer diameter and the other part at their inner diameter.
METALLIC DISC COUPLING,METALLIC FLEXIBLE ELEMENT COUPLING,A <METALLIC DISC COUPLING> is a <METALLIC FLEXIBLE ELEMENT COUPLING> consisting of one or more metallic flexible elements that are alternately attached to the two parts of the coupling; the attachment points being substantially at the same distance from the centerline.
METALLIC FLEXIBLE ELEMENT COUPLING,FLEXIBLE COUPLING,"A <METALLIC FLEXIBLE ELEMENT COUPLING> is a <FLEXIBLE COUPLING> that obtains its flexibility from the flexing of thin metallic discs, diaphragms or links."
METHANOL INJECTION SYSTEM,CHEMICAL INJECTION SYSTEM,"A <METHANOL INJECTION SYSTEM> is a <CHEMICAL INJECTION SYSTEM> that includes services for methanol storage, pumping and distribution both topside and subsea."
MID-WATER ARCH,SUBSEA STRUCTURE,A <MID-WATER ARCH> is a <SUBSEA STRUCTURE> used to support and restrain flexible risers
MILLED IMPELLER,"ARTEFACT, IMPELLER",A <MILLED IMPELLER> is an <ARTEFACT> and an <IMPELLER> that is milled
MIST LUBRICATION SYSTEM,"ARTEFACT, LUBRICATION SYSTEM",A <MIST LUBRICATION SYSTEM> is an <ARTEFACT> and a <LUBRICATION SYSTEM> intended to provide lubrication by creating a mist of lubrication liquid to reach items that need lubrication
MIST OIL SYSTEM,"MIST LUBRICATION SYSTEM, OIL SYSTEM",A <MIST OIL SYSTEM> is a <MIST LUBRICATION SYSTEM> and an <OIL SYSTEM> intended to provide lubrication by creating a mist of oil to reach items that need lubrication
MIXED FLOW COMPRESSOR,"ARTEFACT, COMPRESSOR",A <MIXED FLOW COMPRESSOR> is an <ARTEFACT> and a <COMPRESSOR> provided with an open impeller and an axial gas inlet and a radial outlet
MIXED FLOW PUMP,CENTRIFUGAL PUMP,A <MIXED FLOW PUMP> is a <CENTRIFUGAL PUMP> that uses a mixed flow pump impeller.
MIXED FLOW PUMP IMPELLER,PUMP IMPELLER,"A <MIXED FLOW PUMP IMPELLER> is a <PUMP IMPELLER> where the shape of the impeller includes for specific speed values in between of those for radial and axial flow type impellers, resulting in a combined axial and radial flow."
MIXED PRESSURE BACK PRESSURE STEAM TURBINE,BACK PRESSURE STEAM TURBINE,A <MIXED PRESSURE BACK PRESSURE STEAM TURBINE> is a <BACK PRESSURE STEAM TURBINE> where steam enters the turbine at two or more pressures through separate inlet openings with means to control the inlet flows
MIXED PRESSURE CONDENSING STEAM TURBINE,CONDENSING STEAM TURBINE,A <MIXED PRESSURE CONDENSING STEAM TURBINE> is a <CONDENSING STEAM TURBINE> where steam enters the turbine at two or more pressures through separate inlet openings with means to control the inlet flows
MIXER,FunctionalObject,A <MIXER> is a <FunctionalObject> that has a capability of <MIXING>
MIXER IMPELLER,"ARTEFACT, IMPELLER","A <MIXER IMPELLER> is an <ARTEFACT> and an <IMPELLER> that is intended for use to impart energy to a fluid through centrifugal and axial force in order to perform flow, head and shear required for a mixing process"
MIXING CONE,"ARTEFACT, CONTAINER, MIXER","A <MIXING CONE> is an <ARTEFACT> and a <CONTAINER> and a <MIXER> of conical shape being a part of a planetary screw mixer, designed for mixing solids"
MIXING TANK,"ARTEFACT, TANK",A <MIXING TANK> is an <ARTEFACT> and a <TANK> that is used for mixing
MODULE STRUCTURE,"STRUCTURAL FRAMEWORK, STRUCTURE(mechanical)",A <MODULE STRUCTURE> is a <STRUCTURAL FRAMEWORK> and a <STRUCTURE(mechanical)> used to support the equipment in a module.
MOLASSES PUMP,PUMP,A <MOLASSES PUMP> is a <PUMP> that is specifically designed for <PUMPING> <MOLASSE>
MOTOR,"ARTEFACT, DRIVER(function)",A <MOTOR> is an <ARTEFACT> and a <DRIVER(function)> that is powered by electricity or internal combustion
MOTOR CASING,CASING,A <MOTOR CASING> is a  <CASING> that houses the stator part and the internals
MOTOR CASING COVER,"ARTEFACT, COVER",A <MOTOR CASING COVER> is an <ARTEFACT> and a <COVER> that is an intermediate part attached to the motor casing
MOTOR SLIDE RAIL,"ARTEFACT, SUPPORT",A <MOTOR SLIDE RAIL> is an <ARTEFACT> and a <SUPPORT> on which an electric motor is mounted and serves as a tensioning device when a v-belt drive is involved
MOUNTING FLANGE,FLANGE,A <MOUNTING FLANGE> is a <FLANGE> that is used to attach a piece of equipment to a supporting item
MUD LUBRICATED BEARING,LUBRICATED BEARING,A <MUD LUBRICATED BEARING> is a <LUBRICATED BEARING> used in drill bits which is lubricated using drilling mud.
MUD PUMP,PUMP,A <MUD PUMP> is a <PUMP> that is specifically designed for <PUMPING> <MUD>
MULTILOBE BEARING,HYDRODYNAMIC BEARING,A <MULTILOBE BEARING> is a <HYDRODYNAMIC BEARING> with a non-cylindrical bearing bore and with two or more lobes. The lobe radius is larger than the shaft radius by a specific amount. This difference in the radius of the shaft and the lobe results in the formation of a wedge gap in each arc
MULTIPLE QUICK CONNECTS (MQC PLATE),HYDRAULIC CONNECTOR,"A <MULTIPLE QUICK CONNECTS (MQC PLATE)> is a <HYDRAULIC CONNECTOR> that is outfitted with the appropriate number of couplers to match the number of tubes in the hydraulic flying leads. Any unused positions in the MQC plate are outfitted with blanked-off couplers. All tubes and coupling assignments need to match the tree assignments. All couplers are energized, and the <MQC PLATE> is capable of withstanding full coupler pressures (design pressure and test pressure)"
MULTIPLE SPRING MECHANICAL SEAL,MECHANICAL SEAL,A <MULTIPLE SPRING MECHANICAL SEAL> is a <MECHANICAL SEAL> where the mating ring is pushed against the primary ring by the force of a number of coil springs placed about the circumference of the shaft.
MULTIPLE VOLUTE,VOLUTE,A <MULTIPLE VOLUTE> is a <VOLUTE> with more than two opposite located spiral channels to the discharge
MULTISTAGE CENTRIFUGAL PUMP,CENTRIFUGAL PUMP,"A <MULTISTAGE CENTRIFUGAL PUMP> is a <CENTRIFUGAL PUMP> in which the head is developed by two ore more impellers operating in series, each taking its suction from the discharge of the preceding impeller"
MULTISTAGE PUMP,"ARTEFACT, PUMP","A <MULTISTAGE PUMP> is an <ARTEFACT> and a <PUMP> in which the head is developed by two or more stages, depending on the pump design, each taking its suction from the discharge of the preceding stage"
MULTISTAGE RING SECTION PUMP,MULTISTAGE CENTRIFUGAL PUMP,"A <MULTISTAGE RING SECTION PUMP> is a <MULTISTAGE CENTRIFUGAL PUMP> that is constructed with a number of cylindrical casing sections, one for each stage, which are stacked along the length of the shaft and sandwiched between two end pieces. The impellers all face in the same direction so that the flow of fluid through the pump is very simple &#39;in&#39; at one end, &#39;out&#39; the other"
NATURAL AIR ASPIRATOR,ENGINE ASPIRATOR,A <NATURAL AIR ASPIRATOR> is an <ENGINE ASPIRATOR> used to supply intake air to an engine at the atmospheric pressure.
NATURAL AIR INLET MANIFOLD,"AIR MANIFOLD, ENGINE ASPIRATOR, NATURAL AIR ASPIRATOR",A <NATURAL AIR INLET MANIFOLD> is an <AIR MANIFOLD> and an <ENGINE ASPIRATOR> and a <NATURAL AIR ASPIRATOR> to supply intake air to an engine at atmospheric pressure
NATURAL ASPIRATED ENGINE,PISTON ENGINE,"A <NATURAL ASPIRATED ENGINE> is a <PISTON ENGINE> which has natural aspiration, i.e. not equipped with turbocharger."
NATURAL DRAFT FAN,"ARTEFACT, FAN",A <NATURAL DRAFT FAN> is an <ARTEFACT> and a <FAN> intended to provide enhanced flow of air and is turned by wind
NATURAL GAS COMPRESSOR,"ARTEFACT, COMPRESSOR",A <NATURAL GAS COMPRESSOR> is an <ARTEFACT> and a <COMPRESSOR> designed for increasing the pressure of natural gas
NEAR CENTRE-LINE MOUNTED CASING,PUMP CASING,An <NEAR CENTRE-LINE MOUNTED CASING> is a <PUMP CASING> with a minor distance between the centerline of the shaft/impeller and the suction flange centerline.
NEAR CENTRE-LINE MOUNTED PUMP CASING,PUMP CASING,A <NEAR CENTRE-LINE MOUNTED PUMP CASING> is a <PUMP CASING> with a minor distance between the centerline of the shaft/impeller and the suction flange centerline
NEEDLE ROLLER BEARING,ROLLER BEARING,A <NEEDLE ROLLER BEARING> is a <ROLLER BEARING> that contains cylindrical rollers which have a small diameter and are long relative to their diameter.
NEEDLE ROLLER THRUST BEARING,ROLLER BEARING,A <NEEDLE ROLLER THRUST BEARING> is a <ROLLER BEARING> that consists of a needle roller and thrust cage located between a shaft washer and a housing washer to accommodate axial loads in one direction.
NINE STAGE CENTRIFUGAL PUMP,MULTISTAGE CENTRIFUGAL PUMP,A <NINE STAGE CENTRIFUGAL PUMP> is a <MULTISTAGE CENTRIFUGAL PUMP> in which the head is developed by nine impellers operating in series (each taking its suction from the discharge of the preceding impeller)
NOISE HOOD,HOOD,A <NOISE HOOD> is a <HOOD> that is intended to protect primarily surroundings from equipment noise effects
NON CARTRIDGE MECHANICAL SEAL,MECHANICAL SEAL,A <NON CARTRIDGE MECHANICAL SEAL> is a <MECHANICAL SEAL> that must be assembled from components when installed.
NON LUBRICATED BEARING,"ARTEFACT, BEARING",A <NON LUBRICATED BEARING> is an <ARTEFACT> and a <BEARING> where no lubrication is in place
NON-AUTOMATIC EXTRACTION CONDENSING STEAM TURBINE,"EXTRACTION BACK PRESSURE STEAM TURBINE, EXTRACTION CONDENSING STEAM TURBINE",A <NON-AUTOMATIC EXTRACTION CONDENSING STEAM TURBINE> is an <EXTRACTION BACK PRESSURE STEAM TURBINE> where extraction takes place without means for controlling the pressures of the extracted steam
NON-CIRCULAR GEAR,GEAR,"A <NON-CIRCULAR GEAR> is a <GEAR> with a pair of gears that are anything but circular. It has special characteristics, where the main objective might be ratio variations, axle displacement oscillations, etc"
NON-CLOG PUMP,"ARTEFACT, PUMP",A <NON-CLOG PUMP is an <ARTEFACT> and a <PUMP> that is intended to pump fluids containing solid particles without clogging
NON-DRIVE END BEARING,"ARTEFACT, BEARING","A <NON-DRIVE END BEARING> is an <ARTEFACT> and a <BEARING> for a non-drive end of a driver, i.e. for support of the end of the shaft where torque is not transferred"
NON-DRIVE END RADIAL/THRUST BEARING,"NON-DRIVE END BEARING, RADIAL/THRUST BEARING",A <NON-DRIVE END RADIAL/THRUST BEARING> is a <NON-DRIVE END BEARING> and a <RADIAL/THRUST BEARING> that is located at a non-drive end.
NON-DRIVEN END BEARING,"ARTEFACT, BEARING",A <NON-DRIVEN END BEARING> is an<ARTEFACT> and a <BEARING> that can be installed at non-driven end
NON-DRIVEN END RADIAL BEARING,RADIAL BEARING,A <NON-DRIVEN END RADIAL BEARING> is a <RADIAL BEARING> that is located at the non-driven end of a shaft
NON-REVERSIBLE DIESEL ENGINE,2-STROKE ENGINE,A <NON-REVERSIBLE DIESEL ENGINE> is a <2-STROKE ENGINE> that is a diesel engine designed to run in one direction only.
NOZZLE BLOCK,EQUIPMENT COMPONENT,A <NOZZLE BLOCK> is an <EQUIPMENT COMPONENT> that is an assembly of converging-diverging nozzles plus a row of reversing blades that is part of a steam chest of a steam turbine
NOZZLE RING,RING,A <NOZZLE RING> is a <RING> that is bolted to the inner circumference of a steam chest
OIL BOOSTER PUMP,PUMP,An <OIL BOOSTER PUMP> is a <PUMP> that is specifically designed for <BOOSTING> the pressure (head) of an oil supply
OIL CONDITIONER,CENTRIFUGE,An <OIL CONDITIONER> is a <CENTRIFUGE> that is intended to remove free and dissolved water as well as entrained gases from oil
OIL CONTROL BEARING RING,RING,An <OIL CONTROL BEARING RING> is a <RING> intended to control oil flow in a bearing
OIL HEATER,"ARTEFACT, HEATER",An <OIL HEATER> is an <ARTEFACT> and a <HEATER> that heats oil
OIL LUBRICATED BEARING,LUBRICATED BEARING,An <OIL LUBRICATED BEARING> is a <LUBRICATED BEARING> intended to be lubricated with oil.
OIL LUBRICATION SYSTEM,"ARTEFACT, LUBRICATION SYSTEM",An <OIL LUBRICATION SYSTEM> is an <ARTEFACT> and a <LUBRICATION SYSTEM> intended to lubricate rotating or moving items with oil
OIL MIST LUBRICATOR,"ARTEFACT, LUBRICATOR",An <OIL MIST LUBRICATOR> is an <ARTEFACT> and a <LUBRICATOR> that is designed to spray oil into a air or gas stream and thereby lubricate rotating parts in a consumer e.g an air motor or cylinder
OIL PAN,"ARTEFACT, CONTAINER",An <OIL PAN> is an <ARTEFACT> and a <CONTAINER> and that is the lower section of the crankcase used as a lubricating-oil reservoir on an internal combustion engine
OIL PRESSURE LUBRICATOR,"ARTEFACT, LUBRICATOR",An <OIL PRESSURE LUBRICATOR> is an <ARTEFACT> and a <LUBRICATOR> that is a lubrication appliance supplying lubrication oil under pressure to a bearing or machine part
OIL RESERVOIR,RESERVOIR,An <OIL RESERVOIR> is a <RESERVOIR> that stores oil
OIL RETAINING RING,RING,An <OIL RETAINING RING> is a <RING> intended to retain oil in the bearing housing and prevent entry of foreign material
OIL SEAL,"ARTEFACT, SEAL",An <OIL SEAL> is an <ARTEFACT> and a <SEAL> utilizing oil seal rings
OIL SLINGER,RING,An <OIL SLINGER> is a <RING> that is mounted onto the piston rod off the inboard distance piece in order to prevent possible oil leakage from the oil wiper packing to the outboard distance piece area
OIL SYSTEM,"AUXILIARY SYSTEM, LIQUID SYSTEM",An <OIL SYSTEM> is an <AUXILIARY SYSTEM> and a <LIQUID SYSTEM> that that provides pressurized oil to various equipment components
OIL WIPER PACKING,PACKING(seal),An <OIL WIPER PACKING> is a <PACKING(seal)> that is located off the partition between the crosshead guide and the inboard distance piece to prevent any oil leaving the crosshead guide
OIL-LUBRICATED GEAR COUPLING,GEAR COUPLING,An <OIL-LUBRICATED GEAR COUPLING> is a <GEAR COUPLING> which is oil lubricated.
OILY PRODUCTION WATER SUMP,"ARTEFACT, SUMP",An <OILY PRODUCTION WATER SUMP> is an <ARTEFACT> and a <SUMP> holding polluted water for separation by gravity
OPEN LINE SHAFT,LINE SHAFT,An <OPEN LINE SHAFT> is a <LINE SHAFT> intended to run (inside the column pipe) fully exposed to the pumped liquid.
OPEN LINE SHAFT CENTRIFUGAL PUMP,LINE SHAFT CENTRIFUGAL PUMP,An <OPEN LINE SHAFT CENTRIFUGAL PUMP> is a  <LINE SHAFT CENTRIFUGAL PUMP> provided with an open line shaft by which the shaft is fully exposed to the pumped medium
OPEN PUMP IMPELLER,PUMP IMPELLER,"An <OPEN PUMP IMPELLER> is a <PUMP IMPELLER> that consists of nothing but vanes, without impeller front and back cover, attached to a central hub for mounting on the shaft."
OREDA OIL HANDLING SYSTEM,OIL SYSTEM,An <OREDA OIL HANDLING SYSTEM> is an <OIL SYSTEM> that includes oil handling as defined by OREDA (Offshore and Onshore Reliability Data).
OUTBOARD BEARING,"ARTEFACT, BEARING",An <OUTBOARD BEARING> is an<ARTEFACT> and a <BEARING> that is located closest to the shaft-end
OUTBOARD DISTANCE PIECE,DISTANCE PIECE,An <OUTBOARD DISTANCE PIECE> is a <DISTANCE PIECE> that is located at the cylinder end of the equipment.
OUTPUT SHAFT,SHAFT,An <OUTPUT SHAFT> is a <SHAFT> that is the exit of mechanical energy and driver of an external energy consumer.
OVERHEAD TANK,"ARTEFACT, TANK",An <OVERHEAD TANK> is an <ARTEFACT> and a <TANK> that stores liquid overhead
OVERHUNG CENTRIFUGAL PUMP,CENTRIFUGAL PUMP,An <OVERHUNG CENTRIFUGAL PUMP> is a <CENTRIFUGAL PUMP> where the impeller or impellers are mounted on the end of a shaft which is cantilevered or overhung from its bearing supports
OXYGEN SCAVENGER SYSTEM,CHEMICAL INJECTION SYSTEM,"An <OXYGEN SCAVENGER SYSTEM> is a <CHEMICAL INJECTION SYSTEM> that includes service for loading, storage, pumping and distribution of oxygen scavenger."
PACKAGE ASSEMBLY,"ARTEFACT, PACKAGE",A <PACKAGE ASSEMBLY> is an <ARTEFACT> and a <PACKAGE> that is an assembly of artefacts to be managed as one for some purpose
