uniqueName,superclasses,subclasses,description
guide post,GUIDE POST,,An artefact which is an upstanding tapered shaft or rod fixed to a permanent guide base and intended to be used to guide equipment to the seabed
GUIDE VANE,GUIDE,,A <GUIDE VANE> is a <VANE> and a <GUIDE> that is made oF foil intended to guide a gas flow. Typically in a coalescer
INLET GUIDE VANE,GUIDE,,An <INLET GUIDE VANE> is a <VANE> and a <GUIDE> mounted as group of shaped blades onto the stator part in a circumferential row or rows of an expander or compressor and that can be positioned from the outside by powered means in order to vary the capacity of subject equipment
PILE GUIDE,GUIDE,,A <PILE GUIDE> is an <ARTEFACT> and a <GUIDE> that is intended to guide the piles during piling operation
PIPE GUIDE,"PIPE SUPPORT, GUIDE",,A <PIPE GUIDE> is  a <PIPE SUPPORT> and a <GUIDE> intended to prevent movement of a pipe in one or more directions
RAIL,GUIDE,"MONORAIL, RAIL TRACK",A <RAIL> is an <ARTEFACT> and a <GUIDE> that is a bar of rolled steel forming a track that is <GUIDING> wheeled vehicles
SUBSEA CHRISTMAS TREE GUIDE FRAME,"FRAME, GUIDE",,"A <SUBSEA CHRISTMAS TREE GUIDE FRAME> is a <FRAME> and a <GUIDE> that is a structural framework to provide guidance with the PGB interface, and used for installation of the subsea tree on the subsea wellhead. Also provides support for tree flowlines and connection equipment, control pods, anodes, and counterbalance weigths"
SUBSEA GUIDE BASE,GUIDE,"TEMPORARY GUIDE BASE, subsea guide base, PERMANENT GUIDE BASE",A <SUBSEA GUIDE BASE> is a <SUBSEA FIXED STRUCTURE> and a <GUIDE> supporting a wellhead and providing guidance for wellhead activities
subsea guide base,SUBSEA GUIDE BASE,,A subsea fixed structure supporting a wellhead
TEMPORARY GUIDE BASE,SUBSEA GUIDE BASE,,A <TEMPORARY GUIDE BASE> is a <SUBSEA GUIDE BASE> intended to be placed on the seabed to provide a guide template for drilling the conductor (30-inch) hole and provide a support base for the permanent guide base.
PERMANENT GUIDE BASE,SUBSEA GUIDE BASE,,A <PERMANENT GUIDE BASE> is a <SUBSEA GUIDE BASE> that is set in a permanent alignment to the wellhead system and provides entry guidance for running equipment on or into the wellhead.
HEATER,,"DIRECT HEATING HEATER, FIRED HEATER, FURNACE, HOT PLATE, ELECTRIC HEATER, STEAM HEATER, FUEL HEATER, HOT WATER HEATER, OVEN, OIL HEATER, CRUDE OIL HEATER, FLUID HEATER, BOILER, HEATING SYSTEM, HEATING COIL, PREHEATER",A <HEATER> is a <FunctionalObject> that has the capability of <HEATING>
BOILER,HEATER,"NATURAL CIRCULATION BOILER, CO BOILER, REBOILER, FIRED BOILER, LIQUID FUEL BOILER, ONCE THROUGH BOILER, FLUIDISED BED BOILER, boiler, WASTE HEAT BOILER, STEAM GENERATOR, GASEOUS FUEL BOILER, PACKAGED BOILER",A <BOILER> is a <HEATER> that brings a <LIQUID> to its boiling point
boiler,BOILER,,An indirect contact heat exchanger that is intended to heat a liquid
REBOILER,BOILER,,A <REBOILER> is an <ARTEFACT> and a <BOILER> that is intended to partially vaporise liquid
WASTE HEAT BOILER,BOILER,,A <WASTE HEAT BOILER> is an <ARTEFACT> and a <BOILER> and a <WASTE HEAT RECOVERY DEVICE>
LIQUID FUEL BOILER,BOILER,,A <LIQUID FUEL BOILER> is an <ARTEFACT> and a <BOILER> that is intended to use liquid fuel
NATURAL CIRCULATION BOILER,BOILER,,A <NATURAL CIRCULATION BOILER> is an <ARTEFACT> and a <BOILER> that relies upon convection alone to cause circulation of the heated fluid
ONCE THROUGH BOILER,BOILER,,An <ONCE THROUGH BOILER> is an <ARTEFACT> and a <BOILER> that evaporates water and creates superheated the steam in one pass through the boiler
PACKAGED BOILER,BOILER,,A <PACKAGED BOILER> is an <ARTEFACT> and a <BOILER> that is supplied already assembled as a self-contained package
GASEOUS FUEL BOILER,BOILER,,A <GASEOUS FUEL BOILER> is an <ARTEFACT> and a <BOILER> that is intended to use gaseous fuel
CO BOILER,BOILER,,A <CO BOILER> is an <ARTEFACT> and a <BOILER> that is designed to burn carbon monoxide
FIRED BOILER,BOILER,,A <FIRED BOILER> is an <ARTEFACT> and a <BOILER> that creates thermal energy by burning material
FLUIDISED BED BOILER,BOILER,,A <FLUIDISED BED BOILER> is an <ARTEFACT> and a <BOILER> that maintains the milled coal in suspension during combustion by a rising current of air
CRUDE OIL HEATER,HEATER,,A <CRUDE OIL HEATER> is an <ARTEFACT> and a <HEATER> that is intended to heat crude oil
DIRECT HEATING HEATER,HEATER,,A <DIRECT HEATING HEATER>  is an <ARTEFACT> and a <HEATER> that is heating a medium by direct fire
ELECTRIC HEATER,HEATER,"ELECTRIC FUEL HEATER, ELECTRIC HEATER WITHOUT ANTICONDENSATION HEATER, ELECTRIC HEATER FOR SPECIAL ATMOSPHERE, ELECTRIC HEATER WITH ANTICONDENSATION HEATER, ELECTRIC HEATER FOR STANDING MOUNTING, ELECTRIC HEATER WITH SAFETY THERMOSTAT, ELECTRIC HEATER FOR OFFSHORE, MARINE, SALTY AND CORROSIVE ATMOSPHERE, ELECTRIC HEATER FOR DRY AND VENTILATED ATMOSPHERE, ELECTRIC HEATER FOR HORIZONTAL MOUNTING, ANTI CONDENSATION HEATER, ELECTRIC HEATER FOR HANGING MOUNTING, ELECTRIC HEATER WITH NO CONTROL, electric heater, CENTRIFUGAL COMPRESSOR HEATING, HEATING CABLE, ELECTRIC HEATER FOR VERTICAL MOUNTING",An <ELECTRIC HEATER> is an <ARTEFACT> and a <HEATER> in which electric energy is converted into heat for useful purposes
electric heater,ELECTRIC HEATER,,A heater in which electric energy is converted into heat for useful purposes
HEATING CABLE,ELECTRIC HEATER,,"A <HEATING CABLE> is an <ELECTRICAL CABLE> and an <ELECTRIC HEATER>, with or without a shield or a metallic sheath, intended to give off heat for heating purposes"
ANTI CONDENSATION HEATER,ELECTRIC HEATER,,An <ANTI CONDENSATION HEATER> is an <ELECTRIC HEATER> to be installed in an apparatus to prevent development of condensate.
ELECTRIC FUEL HEATER,"FUEL HEATER, ELECTRIC HEATER",,An <ELECTRIC FUEL HEATER> is an <ELECTRIC HEATER> and a <FUEL HEATER> that is designed to heat fuel for combustion engines.
ELECTRIC HEATER FOR HORIZONTAL MOUNTING,ELECTRIC HEATER,,An <ELECTRIC HEATER FOR HORIZONTAL MOUNTING> is an <ELECTRIC HEATER> that can be horizontally mounted.
ELECTRIC HEATER FOR VERTICAL MOUNTING,ELECTRIC HEATER,,An <ELECTRIC HEATER FOR VERTICAL MOUNTING> is an <ELECTRIC HEATER> that can be vertically mounted.
ELECTRIC HEATER FOR STANDING MOUNTING,ELECTRIC HEATER,,An <ELECTRIC HEATER FOR STANDING MOUNTING> is an <ELECTRIC HEATER> that can be mounted in standing position.
ELECTRIC HEATER FOR HANGING MOUNTING,ELECTRIC HEATER,,An <ELECTRIC HEATER FOR HANGING MOUNTING> is an <ELECTRIC HEATER> that can be mounted in hanging position.
ELECTRIC HEATER WITH ANTICONDENSATION HEATER,ELECTRIC HEATER,,An <ELECTRIC HEATER WITH ANTICONDENSATION HEATER> is an <ELECTRIC HEATER> that is equipped with an anticondensation heater.
ELECTRIC HEATER WITH SAFETY THERMOSTAT,ELECTRIC HEATER,,An <ELECTRIC HEATER WITH SAFETY THERMOSTAT> is an <ELECTRIC HEATER> that is equipped with a safety thermostat.
ELECTRIC HEATER WITH NO CONTROL,ELECTRIC HEATER,,An <ELECTRIC HEATER WITH NO CONTROL> is an <ELECTRIC HEATER> without equipment for environmental control.
CENTRIFUGAL COMPRESSOR HEATING,ELECTRIC HEATER,,A <CENTRIFUGAL COMPRESSOR HEATING> is an <ELECTRIC HEATER> intended for use at a centrifugal compressor.
ELECTRIC HEATER WITHOUT ANTICONDENSATION HEATER,ELECTRIC HEATER,,An <ELECTRIC HEATER WITHOUT ANTICONDENSATION HEATER> is an <ELECTRIC HEATER> that is not equipped with an anticondensation heater.
"ELECTRIC HEATER FOR OFFSHORE, MARINE, SALTY AND CORROSIVE ATMOSPHERE",ELECTRIC HEATER,,"An <ELECTRIC HEATER FOR OFFSHORE, MARINE, SALTY AND CORROSIVE ATMOSPHERE> is an <ELECTRIC HEATER> that can be positioned in an offshore, marine, salty and corrosive atmosphere."
ELECTRIC HEATER FOR DRY AND VENTILATED ATMOSPHERE,ELECTRIC HEATER,,An <ELECTRIC HEATER FOR DRY AND VENTILATED ATMOSPHERE> is an <ELECTRIC HEATER> that can be positioned in a dry and ventilated atmosphere.
ELECTRIC HEATER FOR SPECIAL ATMOSPHERE,ELECTRIC HEATER,,An <ELECTRIC HEATER FOR SPECIAL ATMOSPHERE> is an <ELECTRIC HEATER> that can be positioned in a special atmosphere (to be detailed).
FIRED HEATER,HEATER,"fired heater, DIRECT FIRED HEATER","A <FIRED HEATER> is an <ARTEFACT> and a <HEATER> in which the heat converted from burning solids, liquids or gas is transferred to a media"
fired heater,FIRED HEATER,,Is a fired heat transfer equipment intended to burn fuel and to transfer the heat of combustion to a liquid without vapourizing the liquid
DIRECT FIRED HEATER,FIRED HEATER,,"A <DIRECT FIRED HEATER> is a <FIRED HEATER> in which heat is transferred from chambers or surfaces direct heated by burning solids, liquid or gas. Exhaust gas heat is also normally utilized."
FLUID HEATER,HEATER,GAS HEATER,A <FLUID HEATER> is a <HEATER> that is intended to heat a <FLUID COMPOUND>
GAS HEATER,FLUID HEATER,,A <GAS HEATER> is a <FLUID HEATER> that is intended to heat a <GASEOURS COMPOUND>
FUEL HEATER,HEATER,"ELECTRIC FUEL HEATER, STEAM FUEL HEATER",A <FUEL HEATER> is an <ARTEFACT> and a <HEATER> which is intended for increasing the temperature of diesel engine fuel
STEAM FUEL HEATER,"FUEL HEATER, STEAM HEATER",,A <STEAM FUEL HEATER> is a <FUEL HEATER> and a <STEAM HEATER> where steam is used as heating medium.
FURNACE,HEATER,"HOT OIL FURNACE, SIPM TYPE FURNACE, ETHYLENE CRACKING FURNACE, ROTARY HEARTH FURNACE, KILN, FORCED DRAUGHT FURNACE, NATURAL DRAUGHT FURNACE, HORIZONTAL FURNACE, VERTICAL FURNACE, BILLET HEATING FURNACE, TEMPERING FURNACE, INDUCED DRAUGHT FURNACE, INCINERATOR",A <FURNACE> is a <HEATER> that is intended to induce a reaction in a process fluid by heating it
SIPM TYPE FURNACE,FURNACE,,A <SIPM TYPE FURNACE> is an <ARTEFACT> and a <FURNACE> proprietary design for various applications
INCINERATOR,FURNACE,,An <INCINERATOR> is an <ARTEFACT> and a <FURNACE> that is intended for the combustion of waste material
INDUCED DRAUGHT FURNACE,FURNACE,,An <INDUCED DRAUGHT FURNACE> is an <ARTEFACT> and a <FURNACE> that uses mechanical energy to force the air flow through the furnace
TEMPERING FURNACE,FURNACE,,A <TEMPERING FURNACE> is an <ARTEFACT> and a <FURNACE> intended for heating objects to improve their hardness or strength
ROTARY HEARTH FURNACE,FURNACE,,A <ROTARY HEARTH FURNACE> is an <ARTEFACT> and a <FURNACE> designed for continuous operation that is commonly used to heat metal for heat treating and forging operations
BILLET HEATING FURNACE,FURNACE,,A <BILLET HEATING FURNACE> is an <ARTEFACT> and a <FURNACE> that is intended to heat billets
KILN,FURNACE,,"A <KILN> is an <ARTEFACT> and a <FURNACE> that is an oven or heated enclosure used for processing a substance by burning, firing or drying"
FORCED DRAUGHT FURNACE,FURNACE,,A <FORCED DRAUGHT FURNACE> is an <ARTEFACT> and a <FURNACE> that uses mechanical energy to increase or create the air flow
HORIZONTAL FURNACE,FURNACE,,A <HORIZONTAL FURNACE> is an <ARTEFACT> and a <FURNACE> and the combustion chamber with horizontal orientation
HOT OIL FURNACE,FURNACE,,A <HOT OIL FURNACE> is an <ARTEFACT> and a <FURNACE> and the combustion chamber surrounded by an oil-filled chamber that is exposed to the heat source
NATURAL DRAUGHT FURNACE,FURNACE,,A <NATURAL DRAUGHT FURNACE> is an <ARTEFACT> and a <FURNACE> in which the natural flow of air from around the furnace provides the air to support combustion. It also depends on the pressure created by the heat in the flue gases to force them out through the vent system
VERTICAL FURNACE,FURNACE,,A <VERTICAL FURNACE> is an <ARTEFACT> and a <FURNACE> and a vertical combustion chamber
HEATING COIL,HEATER,INTERNAL HEATING COIL,A <HEATING COIL> is a <PIPE COIL> and a <HEATER> where heat is transfered from an internal heating medium to a surrounding substance
INTERNAL HEATING COIL,HEATING COIL,,An <INTERNAL HEATING COIL> is a <HEATING COIL> located inside another unit.
HEATING SYSTEM,"HEATER, SYSTEM","HOT WATER HEATING SYSTEM, MEDIUM HEATING SYSTEM, ELECTRICAL HEATING SYSTEM, HOT OIL HEATING SYSTEM, HVAC SYSTEM",A <HEATING SYSTEM> is a <HEATER> and a <SYSTEM> which is intended to provide product heating during processing and in further treatment operations
HOT WATER HEATING SYSTEM,HEATING SYSTEM,,A <HOT WATER HEATING SYSTEM> is an <ARTEFACT> and a <HEATING SYSTEM> that uses hot water for heating purposes
HOT OIL HEATING SYSTEM,HEATING SYSTEM,,A <HOT OIL HEATING SYSTEM> is an <OIL SYSTEM> and a <HEATING SYSTEM> in which the heating medium is oil for use in consumers like heat exchangers for feed stock stabilization or other mild heat treatment
ELECTRICAL HEATING SYSTEM,HEATING SYSTEM,,An <ELECTRICAL HEATING SYSTEM> is an <ARTEFACT> and a <HEATING SYSTEM> utilizing electrical power for heating purposes in all sorts of process applications where controlled heat is required
MEDIUM HEATING SYSTEM,HEATING SYSTEM,,A <MEDIUM HEATING SYSTEM> is an <ARTEFACT> and a <HEATING SYSTEM> that uses feed stock as heating of other feed stock streams by exchange of heat in a counter currently heat exchanger
HOT PLATE,HEATER,,"A <HOT PLATE> is an <ARTEFACT> and a <HEATER> that is a portable self-contained tabletop small appliance cooktop that features one, two or more electric heating elements or gas burners"
HOT WATER HEATER,HEATER,,A <HOT WATER HEATER> is an <ARTEFACT> and a <HEATER> that is intended to heat water
OIL HEATER,HEATER,LUBRICATION OIL HEATER,An <OIL HEATER> is an <ARTEFACT> and a <HEATER> that heats oil
LUBRICATION OIL HEATER,OIL HEATER,,A <LUBRICATION OIL HEATER> is an <OIL HEATER> intended to increase or maintain lube oil temperature in an oil reservoir
OVEN,HEATER,WELDING ROD DRYING OVEN,"An <OVEN> is a <HEATER> that is a chamber, fixed or portable, for the heating or drying of substances in chemical, metallurgical, or manufacturing processes"
PREHEATER,HEATER,"tubular, wheel, AIR PREHEATER, GAS PREHEATER, gas turbine","A <PREHEATER> is an <ARTEFACT> and a <HEATER> that makes use of the waste heat to pre-heat and pre-process a feed, thereby achieving energy savings"
gas turbine,PREHEATER,,preheater type pick-list value value - gas turbine
tubular,PREHEATER,,preheater type pick-list value value - tubular
wheel,PREHEATER,,preheater type pick-list value value - wheel
AIR PREHEATER,PREHEATER,,"An <AIR PREHEATER> is an <AIR HEATER> and a <PREHEATER> that is a device designed to heat air before another process (for example, combustion in a boiler) with the primary objective of increasing the thermal efficiency of the process."
GAS PREHEATER,PREHEATER,,A <GAS PREHEATER> is an <ARTEFACT> and a <GAS HEATER> and a <PREHEATER> intended to heat air or gas to avoid building of droplets or condensation
STEAM HEATER,HEATER,"STEAM HEATED AIR PREHEATER, STEAM FUEL HEATER",A <STEAM HEATER> is an <ARTEFACT> and a <HEATER> that utilize the heat energy of steam for heating another medium
STEAM HEATED AIR PREHEATER,STEAM HEATER,,A <STEAM HEATED AIR PREHEATER> is an <AIR PREHEATER> and a <STEAM HEATER> where steam is used as heating medium.
HUMIDIFIER,,"humidifier, STEAM HUMIDIFIER",A <HUMIDIFIER> is a <FunctionalObject> that has the capability of <HUMIDIFYING>
STEAM HUMIDIFIER,HUMIDIFIER,,A <STEAM HUMIDIFIER> is an <ARTEFACT> and a <HUMIDIFIER> that increases the humidity in air by adding water as steam into the air
humidifier,HUMIDIFIER,,Device used to increase the humidity in air by adding water under pressure as a spray into the air
IDENTIFIER,,"PHYSICAL LABEL, NPD PETROLEUM INSTALLATION IDENTIFIER, NPD PETROLEUM INSTALLATION IDENTIFICATION NUMBER, NPD WELL DESIGNATION CODE, NPD WELLBORE IDENTIFIER, NPD WELLBORE DESIGNATION CODE, IDENTIFICATION NUMBER, OPERATOR WELLBORE DESIGNATION CODE ACCORDING TO NPD GUDELINES, ISO 14048 DATA GENERATOR IDENTIFIER DEFINITION, NPD PETROLEUM FIELD IDENTIFIER, NPD PETROLEUM BUSINESS AREA AGREEMENT IDENTIFIER, IDENTIFYING STRING, ISO 14048 DATA COMMISIONER IDENTIFIER DEFINITION, NPD DRILLING RIG IDENTIFIER, ISO 14048 DATA DOCUMENTER IDENTIFIER DEFINITION, ISPDM IDENTIFIER DEFINITION, NORSOK I-001 REV3 INSTRUMENT DATA SHEET LABEL INDEX, ISO 14048 COPYRIGHT IDENTIFIER DEFINITION, NPD DRILL PERMIT IDENTIFIER, NPD WELLBORE SIDETRACK IDENTIFIER, NPD PETROLEUM PRODUCTION LICENSE IDENTIFIER, WITSML TUBULAR IDENTIFIER DEFINITION",An <IDENTIFIER> is a <FunctionalObject>  with the purpose of <IDENTIFYING> something
IDENTIFICATION NUMBER,IDENTIFIER,"PERFORMANCE CURVE NUMBER, ATOMIC NUMBER, FUNCTIONAL UNIT IDENTIFIER, INTERNAL INSPECTION RUN NUMBER, FAX NUMBER, COUNTRY NUMBER",An <IDENTIFICATION NUMBER> is an <ExpressInteger> and an <IDENTIFIER>
FUNCTIONAL UNIT IDENTIFIER,IDENTIFICATION NUMBER,,A <FUNCTIONAL UNIT IDENTIFIER> is an <IDENTIFICATION NUMBER> that idenfies a <FUNCTIONAL UNIT IEC 60050>
PERFORMANCE CURVE NUMBER,IDENTIFICATION NUMBER,,A <PERFORMANCE CURVE NUMBER> is an <IDENTIFICATION NUMBER> that idenfies a performance curve
INTERNAL INSPECTION RUN NUMBER,IDENTIFICATION NUMBER,,An <INTERNAL INSPECTION RUN NUMBER> is an <IDENTIFICATION NUMBER> that is an identification with an incremental number for successive internal inspections
ATOMIC NUMBER,IDENTIFICATION NUMBER,,"An <ATOMIC NUMBER> is an <IDENTIFICATION NUMBER> that idenfies the order of an element in the periodic (Mendeleev) chemical classification, and identified with the number of unit positive charges in the nucleus (idependent of the associated neutrons). Equal to the number of external electrons in the neutral state of the atom, and determines its chemistry"
COUNTRY NUMBER,IDENTIFICATION NUMBER,,A <COUNTRY NUMBER> is an <IDENTIFICATION NUMBER> that idenfies a country with a number
FAX NUMBER,IDENTIFICATION NUMBER,,A <FAX NUMBER> is an <IDENTIFICATION NUMBER> that idenfies the access number for a telefax connection
IDENTIFYING STRING,IDENTIFIER,"CHEMICAL IDENTIFIER, METAL-LOSS CLUSTER NUMBER, MATERIAL SUBCODE, LUBRICATION CODE, MODEL NUMBER, INSPECTION REPORT NUMBER, INTENDED SERVICE CODE, MANUFACTURERS IDENTIFIER OF DRILL BIT, DAMAGE CONTROL CODE, ASSET NUMBER, DRILL PERMIT IDENTIFIER, CONCATENATED CODE, XML START TAG, DESIGN FOLDER CODE, SYSTEM NUMBER, CONSTRUCTION AREA NUMBER, CYLINDER IDENTIFIER, PURCHASE ORDER LINE ITEM NUMBER, RDFS LABEL, SPEED/TORQUE CURVE NUMBER, ORGANIZATION CODE, LOCATION CODE, LANGUAGE CODE, STARTING METHOD CODE, HEAT TRACING SYSTEM NUMBER, CABLE NUMBER, CARGO NUMBER, SUPPORT NUMBER, ELECTRIC ROTATING MACHINE COOLING METHOD CODE, FIELD WELD NUMBER, ROAD NUMBER, WIRE TAG, QUOTATION NUMBER, LABEL TEXT, FAULT BLOCK IDENTIFIER, MATERIAL DATA SHEET IDENTIFICATION CODE, EMPLOYEE NUMBER, ORDER NUMBER, PBS CODE, FIELD JOINT NUMBER, WORK ORDER IDENTIFIER, DRIVE END BEARING TYPE CODE, DOCUMENT NUMBER, DOCUMENT REVISION CODE, NOZZLE NUMBER, BUILDING NUMBER, INSTRUMENT TAG, SERIAL NUMBER, SEQUENCE NUMBER, SOCIAL SECURITY NUMBER (US), HOUSE NUMBER, EQUIPMENT ORIGIN CODE, HAZARDOUS AREA ZONE CODE, ACTIVITY NUMBER, POST CODE, XML END TAG, ITEM NUMBER, ACX NUMBER, PART CRITICALITY CODE, INSULATION TAG, PURCHASE ORDER NUMBER, RFQ IDENTIFIER, GIRTH WELD IDENTIFIER, LINE NUMBER, PAGE NUMBER, PACKAGE IDENTIFIER, DOCUMENT REVISION NUMBER, STRUCTURAL FRAMEWORK NUMBER, DISCIPLINE CODE, LOGISTIC REPORT CODE, FORMATION IDENTIFIER, MANUFACTURER ORDER IDENTIFIER, ADDRESS, MESSAGE IDENTIFIER, CONTRACT NUMBER, COMPANY CODE, TAG NUMBER, COUNTRY CODE, STREAM NUMBER, POST OFFICE BOX NUMBER ID, FLOWLINE IDENTIFIER, CAS REGISTRY NUMBER, MAINTENANCE NUMBER, WINDING INSULATION CODE, COLOUR CODE, NAME, PROJECT CODE, EQUIPMENT REMOVAL NEED INDICATOR, ACCESS CODE, WBS CODE, BATCH IDENTIFIER, JOB IDENTIFIER",An <IDENTIFYING STRING> is an <ExpressString> and an <IDENTIFIER> that is a term that is sufficiently unique within a context to identify an object
TAG NUMBER,IDENTIFYING STRING,,A <TAG NUMBER> is an <IDENTIFYING STRING> that idenfies an instance of <PhysicalObject> for engineering and design purposes
STREAM NUMBER,IDENTIFYING STRING,,A <STREAM NUMBER> is an <IDENTIFYING STRING> that is identification of a <PROCESS STREAM>
PURCHASE ORDER LINE ITEM NUMBER,IDENTIFYING STRING,,A <PURCHASE ORDER LINE ITEM NUMBER> is an <IDENTIFYING STRING> that idenfies a < PURCHASE ORDER LINE ITEM>
MATERIAL SUBCODE,IDENTIFYING STRING,,A <MATERIAL SUBCODE> is an <IDENTIFYING STRING> that is derived from either the <API-610> or a different specification in order to specify the applicable materials
INTENDED SERVICE CODE,IDENTIFYING STRING,,An <INTENDED SERVICE CODE> is an <IDENTIFYING STRING> that indicates a type of product for that an item is intended to be used
CAS REGISTRY NUMBER,IDENTIFYING STRING,,"A <CAS REGISTRY NUMBER> is an <IDENTIFYING STRING> that is an access number assigned to a chemical compound by the Chemical Abstracts Service, a division of the American Chemical Society"
ACX NUMBER,IDENTIFYING STRING,,"An <ACX NUMBER> is an <IDENTIFYING STRING> that idenfies a registry number for substances in ChemACX, Chemfinder.Com, and submitted via Open Chemistry"
SEQUENCE NUMBER,IDENTIFYING STRING,,A <SEQUENCE NUMBER> is an <IDENTIFYING STRING> that identifies a <Thing> by it place in a sequence
BATCH IDENTIFIER,IDENTIFYING STRING,,A <BATCH IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a batched compound
PACKAGE IDENTIFIER,IDENTIFYING STRING,,A <PACKAGE IDENTIFIER> is an <IDENTIFYING STRING> that idenfies an assembly of selected items put together for a specific purpose
RFQ IDENTIFIER,IDENTIFYING STRING,,An <RFQ IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a request for quotation
QUOTATION NUMBER,IDENTIFYING STRING,,A <QUOTATION NUMBER> is an <IDENTIFYING STRING> that idenfies a <QUOTATION>
MATERIAL DATA SHEET IDENTIFICATION CODE,IDENTIFYING STRING,,A <MATERIAL DATA SHEET IDENTIFICATION CODE> is an <IDENTIFYING STRING> that is an identification code of a material data sheet
CYLINDER IDENTIFIER,IDENTIFYING STRING,,A <CYLINDER IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a cylinder location in a reciprocating piston engine
ACCESS CODE,IDENTIFYING STRING,,"An <ACCESS CODE> is an <IDENTIFYING STRING> that is an unambiguous flag, within an information system, indication how, the document may be spread outside of the information system within which it is contained"
DESIGN FOLDER CODE,IDENTIFYING STRING,,A <DESIGN FOLDER CODE> is an <IDENTIFYING STRING> that idenfies a folder in which design information is held
JOB IDENTIFIER,IDENTIFYING STRING,,A <JOB IDENTIFIER> is an <IDENTIFYING STRING> that idenfies an activity
PURCHASE ORDER NUMBER,IDENTIFYING STRING,,A <PURCHASE ORDER NUMBER> is an <IDENTIFYING STRING> that idenfies a <PURCHASE ORDER>
MANUFACTURER ORDER IDENTIFIER,IDENTIFYING STRING,,A <MANUFACTURER ORDER IDENTIFIER> is an <IDENTIFYING STRING> that idenfies an order as assigned by the <MANUFACTURING ORGANIZATION>
STARTING METHOD CODE,IDENTIFYING STRING,,A <STARTING METHOD CODE> is an <IDENTIFYING STRING> that identifies different types of starting methods for an induction motor
WINDING INSULATION CODE,IDENTIFYING STRING,,A <WINDING INSULATION CODE> is an <IDENTIFYING STRING> that is stating the insulation class of a stator or rotor winding
HAZARDOUS AREA ZONE CODE,IDENTIFYING STRING,,A <HAZARDOUS AREA ZONE CODE> is an <IDENTIFYING STRING> indication the area classification CODE
SPEED/TORQUE CURVE NUMBER,IDENTIFYING STRING,,A <SPEED/TORQUE CURVE NUMBER> is an <IDENTIFYING STRING> that idenfies a speed/torque curve number
DRIVE END BEARING TYPE CODE,IDENTIFYING STRING,,A <DRIVE END BEARING TYPE CODE> is an <IDENTIFYING STRING> indicating the type and size of the motor bearing situated in the drive end
LUBRICATION CODE,IDENTIFYING STRING,,A <LUBRICATION CODE> is an <IDENTIFYING STRING> stating what type of lubrication a bearing or machine is fitted with
EQUIPMENT REMOVAL NEED INDICATOR,IDENTIFYING STRING,,An <EQUIPMENT REMOVAL NEED INDICATOR> is an <IDENTIFYING STRING> indicating whether a task on a part requires the equipment to be removed from the spot or not
PART CRITICALITY CODE,IDENTIFYING STRING,,A <PART CRITICALITY CODE> is an <IDENTIFYING STRING> indicating the importance a part plays for the performance of the whole
LOGISTIC REPORT CODE,IDENTIFYING STRING,,A <LOGISTIC REPORT CODE> is an <IDENTIFYING STRING> indicating requirements for special logistics reporting
DAMAGE CONTROL CODE,IDENTIFYING STRING,,A <DAMAGE CONTROL CODE> is an <IDENTIFYING STRING> that is assigned to an item when damage control is important
EQUIPMENT ORIGIN CODE,IDENTIFYING STRING,,An <EQUIPMENT ORIGIN CODE> is an <IDENTIFYING STRING> that indicates the origin of an equipment
FORMATION IDENTIFIER,IDENTIFYING STRING,,A <FORMATION IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a <FORMATION> structure
FAULT BLOCK IDENTIFIER,IDENTIFYING STRING,,An <FAULT BLOCK IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a < FAULT BLOCK>
FLOWLINE IDENTIFIER,IDENTIFYING STRING,,A <FLOWLINE IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a <FLOWLINE>
CHEMICAL IDENTIFIER,IDENTIFYING STRING,,A <CHEMICAL IDENTIFIER> is an <IDENTIFYING STRING> that is an identification code of a chemical
MESSAGE IDENTIFIER,IDENTIFYING STRING,,A <MESSAGE IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a message
DRILL PERMIT IDENTIFIER,IDENTIFYING STRING,,A <DRILL PERMIT IDENTIFIER> is an <IDENTIFYING STRING> that idenfies a drill permit issued by an authoritative body of the country where the drilling will take place
MANUFACTURERS IDENTIFIER OF DRILL BIT,IDENTIFYING STRING,,A <MANUFACTURERS IDENTIFIER OF DRILL BIT> is an <IDENTIFYING STRING> that idenfies a drill bit by the manufacturer
PAGE NUMBER,IDENTIFYING STRING,,"A <PAGE NUMBER> is an <IDENTIFYING STRING> that contains what is (actually or notionally) written, printed, etc., on a page, i.e. one side of a leaf of a book, manuscript, letter, etc"
XML START TAG,IDENTIFYING STRING,,"An <XML START TAG> is an <IDENTIFYING STRING> that is indicated by the symbol opening bracket followed by XML element NAME and optional XML attributes, and ends with the closing bracket. XML start tag indicates the beginning of an XML element"
XML END TAG,IDENTIFYING STRING,,A <XML END TAG> is an <IDENTIFYING STRING> element
ROAD NUMBER,IDENTIFYING STRING,,A <ROAD NUMBER> is an <IDENTIFYING STRING> that is an identification a <ROAD>
ASSET NUMBER,IDENTIFYING STRING,,An <ASSET NUMBER> is an <IDENTIFYING STRING> that identifies an <ASSET>
